1.09308,0.942742,0.290785,0.977884,0.34216,0.426141,0.958721,1.11594,0.849481,0.809186,0.312751
0.326515,0.330406,0.330858,0.4667,0.323678,0.334667,0.333856,0.334232,0.32827,0.331594,0.333516
0.333309,0.338404,0.334724,0.470636,0.3292,0.33827,0.33872,0.33785,0.332306,0.334954,0.335787
0.33209,0.33692,0.335689,0.470688,0.332025,0.335738,0.341397,0.34059,0.331468,0.333602,0.340041
0.332068,0.336935,0.339512,0.46839,0.32465,0.336571,0.337514,0.336505,0.335988,0.337527,0.335622
0.336676,0.337064,0.339756,0.470952,0.332535,0.340985,0.336488,0.335865,0.331462,0.333767,0.335533
0.335049,0.340383,0.337186,0.479463,0.330352,0.339067,0.340178,0.344567,0.339443,0.335565,0.338411
0.337549,0.336899,0.336657,0.470567,0.334696,0.33729,0.338619,0.337148,0.332626,0.339004,0.341424
0.332575,0.337139,0.34098,0.477595,0.327982,0.340785,0.337645,0.341183,0.332855,0.333711,0.336701
0.337386,0.341756,0.33704,0.472343,0.324954,0.337029,0.338591,0.33622,0.337457,0.33379,0.341385
0.334805,0.339866,0.336181,0.467506,0.33423,0.342615,0.339341,0.342188,0.334575,0.341453,0.338029
0.334496,0.339253,0.339825,0.457147,0.33428,0.337197,0.331098,0.33921,0.338619,0.335735,0.341722
0.332701,0.342064,0.336107,0.476351,0.32723,0.335633,0.336952,0.341426,0.33197,0.336457,0.336237
0.337585,0.337245,0.340696,0.472206,0.332191,0.340324,0.33608,0.335933,0.332297,0.333551,0.336341
0.334072,0.337112,0.336569,0.470925,0.327881,0.33665,0.337202,0.341236,0.337956,0.339452,0.342099
0.339279,0.337863,0.342101,0.481127,0.337432,0.345788,0.341383,0.340836,0.335236,0.336261,0.338915
0.336394,0.340349,0.335741,0.470698,0.323326,0.336283,0.337465,0.341089,0.336201,0.332808,0.340069
0.332046,0.34077,0.334676,0.473652,0.333636,0.341341,0.337535,0.335857,0.331542,0.333053,0.335253
0.333026,0.335961,0.340391,0.472287,0.329401,0.336334,0.337537,0.336208,0.337042,0.337551,0.340388
0.338289,0.336866,0.335991,0.473272,0.336111,0.345417,0.340972,0.345012,0.333806,0.334758,0.335756
0.331872,0.336186,0.339881,0.470809,0.329322,0.341113,0.341718,0.34096,0.335784,0.337548,0.340114
