12573002,12846094,63395917,20665323,38847951,3560391,5199497,6867785,10470485,14895024,195432395
6079843,6138332,6152921,8477808,5539548,5631081,5659167,5638981,5995061,6126909,6014798
6092207,6167362,6239507,8600139,5591551,5686447,5721602,5687295,6034596,6164713,6025355
6241188,6324277,6238152,8580870,5609984,5642778,5739053,5697450,6031035,6150185,6069242
6087578,6118309,6175184,8328509,5351310,5415352,5401890,5319270,5663075,5664886,5447848
5544914,5568731,5675080,7764027,5078957,5155388,5140260,5104709,5454662,5562974,5443759
5529534,5631803,5668016,7881509,5069383,5151182,5189194,5208132,5532092,5568653,5469877
5553810,5582598,5657981,7763911,5098886,5126196,5182649,5131739,5471836,5611918,5509440
5516098,5570668,5699909,7826789,5044866,5148852,5165643,5198485,5576617,5720731,5666249
6154338,6164675,6160062,8403116,5350943,5421627,5429098,5308555,5684149,5623480,5512414
5524452,5591981,5665903,7739609,5104943,5180306,5187055,5174637,5487619,5636293,5466404
5521107,5580989,5710943,7540155,5090762,5106050,5126975,5141750,5528311,5576419,5499822
5505877,5624874,5650591,7832689,5031969,5099797,5149154,5162410,5461288,5611184,5463613
5548074,5573350,5691419,7789423,5078367,5150038,5141124,5141576,5556178,5708376,5657080
6116776,6171211,6266531,8613791,5585713,5717181,5761241,5780005,6164678,6259396,6152916
6168744,6196850,6320161,8722826,5702313,5782566,5763450,5721758,6083579,6172632,6065016
6135718,6145167,6139691,8382316,5334780,5410832,5418309,5378702,5659572,5618262,5491129
5495779,5595375,5625181,7791189,5101199,5151824,5147696,5099464,5454472,5553852,5448973
5509425,5547862,5690099,7778649,5039983,5097342,5154476,5101943,5508976,5588404,5490963
5544676,5568923,5644100,7785610,5101278,5204256,5183810,5197012,5472020,5562431,5456098
5497414,5558821,5679982,7775839,5049672,5155399,5205515,5187752,5582800,5741394,5686370
6145993,6260802,6303042,8684195,5697117,5769709,5774554,5770972,6097874,6149543,6035349
7111545,6151316,6420666,8456221,5644860,5739241,5804160,5517255,6990636,7458343,6214624
8443285,7349727,7651408,12402856,5541212,6037862,6023109,5487956,8104085,8221613,7339873
8575756,8515365,8418830,13028903,5468849,5630200,5566129,5524461,8267706,8208649,8210438
8596410,8584980,8489183,13113998,5573638,5620146,5607018,5507598,8367132,8343241,8243404
8592240,8535059,8437274,13060112,5493636,5623494,5528817,5479715,8325031,8254634,8251708
8494734,8440500,8227848,12573944,5268270,5355791,5240327,5090998,7654195,7521560,7429729
7239027,7364658,7203575,10425966,4841240,4895385,4921717,4841823,6754129,7378565,7167417
5520966,5476191,5611696,7738522,5131533,4819606,4791819,4729816,5414586,6023468,5444016
5467275,5571586,5596895,7745309,5069551,4883252,4955764,4802148,5448636,5554141,5404182
5501830,5565809,5642774,7825200,5114205,5178597,5194023,5116026,5461010,5562025,5492306
5514555,5550454,5631477,7738331,5118900,5073634,5264085,5122230,5472976,5584440,5433648
5504155,5579422,5652688,7816550,5042072,5175556,5176242,5102328,5458403,5610651,5503801
5547936,5565311,5648558,7745421,4980080,5159103,5025888,5027223,5500675,5570154,5500630
5539323,5577607,5655200,7840943,5112762,5137636,5189021,5125448,5461450,5614686,5460851
5504499,5579454,5648952,7797165,5101584,5182229,5156023,5126934,5501777,5571818,5501785
5532572,5566565,5640956,7826143,5040941,5117439,5148016,5126482,5493072,5601418,5445367
5494304,5568006,5636869,7830877,5045906,5185763,5174447,5128657,5497458,5562064,5486667
5794868,5875755,6053674,8381528,5470256,5723727,5769135,5894246,6354008,6592654,6351232
6154365,6235507,6316937,8743261,5647659,5777086,5779343,5723898,6142397,6210094,6082421
6091152,6158234,6246659,8663304,5589662,5607067,5724290,5673343,6077077,6332912,6037045
6959173,6991402,7416206,12642030,5757874,5613459,6058382,5619893,7157916,8180717,6911100
8559694,8504151,8389747,13028479,5474576,5613630,5597983,5488615,8326926,8321626,8337125
8530443,8434539,8342044,12862627,5439751,5574546,5505415,5396309,8248819,8288910,8216723
8693854,8684822,8551542,12582985,5462679,5615328,5575628,5471911,8369342,8399715,8416580
8551103,8471187,8389302,12872581,5404984,5496273,5479469,5383095,8214599,8325350,8300491
8898569,8650043,8535084,13223908,5516886,5627045,5592678,5474663,8387029,8407700,8357975
8504141,8491855,8353407,12876945,5435256,5518906,5556772,5407679,8252597,8356616,8323968
8479210,8487000,8381182,12908182,5415001,5502243,5514152,5386986,8251242,8240691,8252865
7549190,8370810,8163121,10702445,5211427,5286473,5298511,5066465,7756478,7432281,7334172
3956026,4233853,4012819,5091329,4694573,6021032,7702416,4775690,4065703,4111783,4420268
3966579,4015192,4062613,5098797,5434797,7963944,8003576,6807963,3899359,4061702,3990397
4026083,3976440,4018101,5185681,7850931,7948022,7975347,7957000,3974211,4049672,4082350
3966103,3953885,4139829,5336660,8240308,8483170,8603990,8618282,4231805,4395962,4418042
4192912,4339644,4312897,5478877,9158872,9919861,9124323,10681020,4025155,4047637,4005875
3426079,3464169,3451792,4677252,11323519,11692593,11921469,11267541,3459193,3509802,3550822
3425950,3454856,3479520,4619218,11955916,11946328,12014107,11999317,3480604,3525917,3548403
3462708,3501052,3512178,4623452,11803999,11848663,11947389,11901584,3497022,3561818,3589923
3466112,3504761,3528518,4638974,11729814,11744206,11738203,11761866,3499241,3547930,3641619
3446556,3530700,3551727,4635892,11830554,11867571,11897725,11926938,3486719,3594441,3588753
3557629,3674818,3676798,4886846,12811553,12958995,13174096,13583161,3905391,3967721,3943545
