11223964,18953430,9677298,8194432,3400214,1396871,4478303,4424953,7087154,7771422,9225438,5100032,3426262,301243790
3867957,3905871,3922454,3972257,6353563,6603682,9246631,9340902,4111079,4226602,4284325,4439896,6829488,7115409
4558893,4525266,4511568,4518409,6422177,6529967,8547299,8574206,4405455,4629470,4669631,4701917,6452134,6590699
4514326,4493592,4468764,4511215,6402712,6499469,8469866,8553764,4408690,4526872,4551075,4674932,6369322,6488230
4586914,4591524,4688529,4710866,6588362,6690583,8756596,8783838,4546235,4679880,4718048,4739033,6466563,6643429
4979594,4974552,4853816,4889262,6770176,6881943,8940284,9021054,4655746,4635404,4621354,4644230,6484749,6627912
4670444,4696796,4653672,4658402,6473972,6549949,8631330,8735924,4516037,4565105,4600435,4590121,6421855,6470013
4675614,4578062,4557301,4515590,6246046,6297716,8201989,8035425,4123255,4142989,4119187,4087623,5637883,5731142
4028091,3992775,4004768,4007335,5687266,5776364,7532660,7602481,3899631,3961926,3992360,4021833,5620931,5681361
4109359,4023170,4070641,4054579,5662302,5758629,7513482,7549015,3935787,4000424,4049854,4044827,5592929,5700368
4076201,4087808,4054478,4048435,5711331,5887824,7805848,8135405,4389335,4678668,4819197,4860794,6711395,6995881
4885504,4850386,4876118,4904038,6683034,6790186,8784243,8924439,4657149,4817253,4745108,4765899,6629721,6702813
4729243,4695977,4804805,4741140,6570124,6655491,8818356,8858287,4567319,4725485,4739280,4756233,6631160,6719083
4719154,4752641,4700310,4685346,6496665,6633374,8679616,8725380,4506985,4548097,4621167,4590759,6427011,6558616
4719849,4654222,4703651,4666301,6435683,6556211,8614136,8645119,4485208,4621768,4579728,4642518,6392844,6566855
4627497,4560737,4523703,4496149,6207808,6234952,8092572,7919369,4158652,4216028,4174297,4215690,5664445,5706977
4148186,4124669,4118475,4072468,5684197,5832563,7592113,7619931,3948715,4043035,4046918,4070694,5618274,5718528
4086569,4055368,4067666,4064891,5683784,5778502,7575778,7665693,3945806,4077278,4110188,4070465,5651545,5729754
4071297,4056777,4114125,4050828,5716893,5806222,7720065,7780884,4097354,4230409,4298751,4353164,6058042,6219424
4712095,4663330,4602013,4601761,6480035,6616793,8641677,8685901,4535868,4566583,4610954,4691845,6373535,6477642
4696893,4672672,4651123,4637282,6566070,6626379,8728832,8758579,4493685,4561298,4642373,4628247,6364507,6472525
4616648,4616994,4519632,4483545,6128337,6175393,7942733,7486266,4153452,4261569,4174225,4221229,5620553,5695020
4072907,4046300,4063348,4052348,5690249,5799534,7561677,7626070,3942963,4018507,4083237,4062904,5671204,5701111
4150956,4063656,4105748,4067218,5698760,5789526,7587628,7634872,3958755,4053581,4040146,4116912,5639232,5777970
4081981,4113658,4054775,4063860,5672408,5825567,7596890,7606496,4004352,4030528,4045019,4063135,5610226,5740367
4135627,4061365,4058812,4124757,5713639,5761052,7578930,7620171,3951542,4036960,4044597,4066721,5652056,5713361
4288062,4311809,4414138,4441526,6141074,6315809,8352049,8475665,4478008,4681469,4748017,4738680,6397193,6508732
4674264,4620681,4577612,4553393,6307745,6369198,8147644,8115392,4248154,4216107,4175447,4156240,5659849,5765737
4139521,4049853,4110228,4055937,5672009,5777103,7556561,7599758,4009877,4019110,4054183,4116193,5603304,5710306
4090242,4117121,4070188,4062931,5663624,5814229,7545164,7577740,3959223,4043860,4118302,4057901,5601537,5757028
4123176,4097267,4097145,4147993,5666755,5748712,7572802,7481835,4052862,4093890,4088472,4103290,5633088,5704566
4157957,4129064,4084876,4074949,5647430,5741623,7508692,7582390,3976532,4076678,4132796,4084721,5577494,5688136
4075907,4049637,4109265,4055797,5699533,5763183,7560659,7589846,3942447,4032697,4042337,4108319,5606029,5737729
4071008,4043843,4051177,4051436,5641848,5773434,7478471,7083506,3939226,4018959,4039091,4056968,5616844,5675621
4089622,4060338,4118897,4121022,5672652,5773225,7548923,7580373,4003820,4082275,4052334,4076703,5607101,5718421
4147462,4108033,4065584,4063650,5678550,5778328,7575066,7623327,3954839,4021166,4103514,4117511,5611830,5726075
4087792,4056371,4070945,4060503,5715942,5764336,7552072,7627275,3960520,4038352,4045517,4059532,5641277,5754969
4107063,4074096,4079608,4134191,5714690,5761203,7593622,7603361,4032490,4049760,4065743,4068463,5608290,5747410
4711696,4726329,4683352,4694422,6483573,6636181,8647994,8699410,4552130,4667604,4591315,4661563,6401981,6511084
4662568,4606217,4612260,4523835,6198251,6276569,8109235,8044974,4245602,4217917,4169937,4143869,5653425,5737164
