4342595,3533116,3623150,3656086,9900964,10030279,8404972,291368695
3017778,3015887,3087138,3070673,124144,27876,25046,15460
3187188,3272813,3339034,3326460,40677,5965,15438,3165
3183442,3191778,3244358,3229946,100644,63964,52139,53943
3391652,3344159,3387321,3416529,75276,3688,55446,20658
3227212,3168124,3234078,3266087,55271,7228,11704,4863
3216720,3173646,3228193,3246511,103260,17402,44529,21251
3182004,3224759,3270235,3307524,58556,17247,32418,22238
3271904,3182702,3229772,3218480,83562,31338,23033,10487
3235262,3228055,3290640,3317317,37428,18989,43799,22173
3229668,3195991,3286512,3221199,49144,9629,12065,4007
3234211,3164797,3338729,3217258,28960,11322,191469,74479
3237234,3165948,3285776,3222848,52115,7710,24538,8505
3238327,3166634,3216221,3247152,108934,12390,11063,30040
3243575,3247472,3288161,3226869,59430,49212,24602,45677
3187206,3185206,3287827,3226310,61442,10339,29395,21445
3262761,3292045,3219292,3218163,48867,1790,5181,18874
3172193,3212697,3276845,3230652,41631,1469,3942,11262
3192677,3168036,3286204,3237523,41514,4496,7309,27330
3276070,3285404,3400444,3226400,50471,20128,6863,14803
3174648,3287554,3228597,3217457,43128,10169,2133,17925
3261450,3249249,3362041,3225749,42545,10334,3675,10900
3165365,3183464,3162249,3134279,52797,3581,5382,12936
3119979,3169139,3223698,3153360,108926,31721,26613,38746
3041035,3074876,3209473,3190989,71677,10793,21286,15023
3179658,3283680,3275211,3228251,61993,21087,17149,21953
3245388,3186228,3285111,3229514,52735,16195,6389,7612
3193530,3237291,3229959,3227753,102138,14921,4499,19261
3221983,3220440,3317008,3213738,45608,8305,5958,8135
3239832,3192350,3226130,3220618,86093,19264,35621,12562
3093429,3211810,3215482,3265436,50998,2743,5220,33207
2965126,3150271,3185449,3185496,43114,1540,3813,5631
2284600,2377439,2373176,2421484,38490,3278,4045,23301
1963148,1909805,1961715,1849453,42983,7087,5935,22357
1856395,1921145,1906805,1850812,127038,24932,45917,22562
1905274,1848152,1848540,1904426,52757,6266,8415,23832
1965595,1970003,1854919,1909882,81906,11495,29851,6101
1848812,1852606,1902498,1848750,65549,8940,50006,10824
1915994,1857219,1858042,1905764,54145,9191,3754,1530
1856129,1854608,1900268,1903146,51746,4862,2756,13055
1955213,1960168,1910358,1858183,44881,4874,2158,7394
1864536,1862190,1857435,1860645,89106,21994,3108,12038
1914271,1920402,1910673,1859150,52857,18552,5141,8787
1851009,1859123,1847699,1904781,79777,8388,18541,7273
1912737,1918837,1905360,1849849,66229,12286,15656,9212
1860409,1842150,1807981,1849244,76901,28370,3594,5181
1849748,1794168,1785397,1791634,95876,12723,6534,9246
1796645,1843508,1847440,1844121,46120,3889,2699,6664
1788057,1848562,1848002,1787204,51868,26779,5099,4059
1852017,1807386,1793700,1846429,44496,18785,7369,13550
1837123,1834411,1778707,1783061,52091,1621,3018,8168
1786838,1796560,1840941,1838266,92302,16659,36182,36806
1854771,1794696,1848827,1786441,68027,5893,4263,6421
1823053,1875810,1832620,1868845,77502,15843,2828,6168
1912642,1855950,1908645,1851200,50802,4650,9262,3739
1913992,1925149,1852197,1859589,47471,7174,1502,2146
1865625,1909291,1903612,1907195,95760,12805,3380,14159
1863048,1867105,1857712,1911402,101919,210620,2094,48511
1859211,1921862,1859054,1920344,616017,38933,128548,31277
1914795,1860620,1920833,1854106,58602,18118,13588,8651
1944139,1945400,2002866,1937094,37249,1467,18182,21691
2023521,1971493,2024596,1938653,53329,43883,12610,2023
1913699,1861962,1863933,1917528,46596,11211,14828,1609
1848522,1852342,1897380,1846800,93183,14701,11812,14482
