349,265,355,262,363,264,365,267
259,378,272,364,264,380,259,381
345,273,349,278,350,274,345,277
341,278,344,277,351,277,356,280
345,274,349,270,353,267,344,285
344,263,347,269,352,281,352,273
358,265,351,266,365,269,359,265
358,270,358,266,363,266,351,269
544,103,553,87,557,92,549,98
433,191,413,205,432,184,416,195
342,260,336,261,362,260,339,259
457,158,461,160,461,148,465,153
493,119,491,129,505,132,486,127
330,272,333,268,341,268,339,263
336,269,334,265,343,260,335,264
335,261,347,262,358,265,352,263
349,254,355,254,378,268,357,260
623,36,613,35,635,35,627,27
661,1,654,0,671,1,660,0
734,2,727,1,741,0,740,1
876,1,881,0,891,0,872,1
