8328846,11788214,7807414,10450615,293660940
5117397,5027684,5141592,5081311,12173813
5390581,5328666,5379818,5360250,12707306
5431779,5427248,5445463,5418569,13376058
5716089,5606107,5686847,5672332,13480613
5652763,5648717,5696504,5669286,13449416
5714008,5603881,5735077,5654623,13381745
5502225,5507385,5664736,5633829,13343497
5659537,5633299,5695735,5635911,13469947
5724817,5604513,5702930,5652939,13429351
5689862,5636295,5683850,5601842,13427166
5705303,5599332,5682257,5639546,13429390
5672246,5592697,5533706,5398682,12708968
5451847,5334119,5399790,5392418,12805519
5411801,5390437,5436537,5418490,12831127
5510061,5347407,5399031,5393691,12902415
5420577,5444586,5447895,5366285,12894047
5484451,5354316,5467776,5431931,12904244
5505614,5347193,5473187,5456053,12743298
5269697,5303952,5450194,5391590,12698638
5815254,5613708,5655061,5696890,13496893
5687208,5698735,5786765,5651416,13458436
5745326,5614504,5721817,5715915,13429903
5726038,5687590,5667311,5695860,13426308
5675307,5674131,5720353,5684914,13426592
5711664,5709465,5635833,5617349,13366164
5781174,5672590,5670195,5650635,13397962
5761027,5714434,5672428,5651737,13317775
5793332,5669541,5674573,5627567,13453796
5709547,5641659,5616686,5591403,13364061
5691673,5719878,5505174,5402837,13132124
5729227,5676928,5665957,5606041,13328185
5721136,5694909,5639324,5609270,13388061
5520928,5510784,5465623,5502639,15514257
5444372,5458421,5465324,5363077,16435972
5441323,5457177,5392385,5452667,16423298
5394859,5283916,5300691,5238153,15606131
5201194,5186414,5205539,5189437,15639101
5205580,5206449,5146490,5197396,15683887
5130493,5210681,5200599,5205731,15737592
5201666,5204479,5209622,5138204,15730109
5203932,5144638,5200527,5209894,15722632
5241608,5214883,5186769,5075276,15686829
5195789,5223095,5211360,5125029,15723511
5196851,5226029,5154182,5211028,15723014
5144478,5204709,5219055,5196807,15735297
5200923,5214255,5335466,5361272,16389982
5460539,5468719,5457217,5451146,16457518
5448162,5466800,5405317,5444114,16494893
5406713,5298963,5251562,5246732,15698210
5206837,5221427,5210962,5147476,15727075
5139909,5217941,5210979,5190073,15718901
5208569,5165994,5214839,5196334,15716671
