2092,241,2217,293
1414,278,1434,282
1501,270,1490,267
2072,506,2114,516
1375,273,1411,295
1396,282,1400,275
1425,275,1416,283
1623,235,1621,240
2860,11,2870,14
2309,124,2261,143
1422,280,1421,287
1425,264,1432,273
1432,276,1432,268
1568,247,1577,251
2784,27,2814,8
2392,116,2308,121
1369,292,1407,290
1427,261,1424,276
1420,280,1423,276
1449,270,1458,279
2825,13,2870,3
2931,0,2922,3
2866,1,2820,8
2037,152,2058,155
1386,283,1393,272
1269,246,1252,242
1285,245,1298,248
1398,271,1402,269
1389,280,1384,284
1375,272,1375,278
1389,279,1413,272
1391,277,1407,276
1910,175,1925,175
2796,1,2803,4
2335,88,2351,93
1406,277,1386,276
1391,273,1421,265
1404,271,1386,272
1905,179,1917,179
2834,1,2844,4
2339,94,2294,100
2871,3,2859,7
