3546443,2915736,2305502,2077316,4687647,209392604
6461170,6361658,6365199,137490,9801275,9992897
6366588,6252864,6261037,106020,8266186,8495365
6422912,6271274,6315269,138687,8395663,8502252
6414218,6360369,6267093,94550,8345889,8558348
6375886,6288835,6329699,122779,8395006,8565293
6435949,6331282,6331217,113693,8421685,8519132
6427298,6307629,6352610,89489,8378950,8634087
6468508,6438832,6327199,137159,8457683,8554085
6498869,6357163,6378335,81313,8474875,8615557
6466662,6372250,6332118,146496,8451443,8607120
6369630,6171128,6194931,125723,8021338,8199981
6175935,6096475,6107401,103900,8030069,8161099
6168654,6036028,6111800,606101,8073636,8219582
6274051,6179515,6152120,93267,8041039,8178984
6533868,6337498,6340492,149277,8496647,8602743
6536328,6362259,6356397,112301,8433087,8599959
6423478,6321778,6456001,157390,8404262,8584997
6496922,6441474,6429873,92573,8462795,8565473
6471545,6351077,6382224,112678,8476727,8614336
6720608,6576520,6660845,114368,8656399,8736098
6797472,6665557,6698486,86130,8656732,8728534
6720874,6482472,6460292,135102,8241928,8357935
6505470,6361576,6314739,138843,8259957,8356041
6456419,6355144,6389606,71043,8200986,8337403
6603757,6515169,6698760,82603,8712855,8731744
6761203,6620290,6625730,85163,8604986,8730812
6756825,6714177,6739125,79152,8692009,8832889
6789257,6605563,6616480,76754,8574577,8720999
6666334,6563505,6657225,82217,8600178,8729065
6963630,6803827,6846892,85682,8854213,8762265
6786502,6633431,6625610,91348,8626908,8722510
6630388,6522753,6612950,69137,8510487,8674718
6606789,6561480,6600327,75396,8556881,8688474
6663982,6405800,6454782,108868,8192804,8278390
6366307,6283293,6321927,79345,8162543,8334769
6430504,6304103,6257520,78556,8265465,8473475
6845435,6658105,6717338,82289,8755212,8721603
6683063,6586193,6612009,63070,8593676,8680682
6788998,6585532,6603760,68273,8581136,8763813
6780848,6545883,6649223,87023,8611200,8754835
6848026,6624938,6754765,78810,8671942,8755439
6714541,6626440,6627280,74884,8638070,8758669
6775315,6562352,6654432,75397,8650133,8728881
6679602,6498515,6620593,85464,8600923,8716024
6667519,6477526,6423356,74121,8188000,8318471
6430929,6311325,6284060,114318,8198332,8296098
6407307,6256747,6367458,118712,8183708,8357981
6648438,6646599,6767876,112005,8604798,8730935
6736320,6612704,6546796,89288,8843836,9773858
6598734,6924604,6622513,138625,12074002,12290141
6626015,6452368,6497491,92516,11795058,12020797
6601860,6487984,6502895,144853,11786252,12028705
6572086,6509185,6493599,106590,11827390,11994036
6602442,6438423,6453857,142863,11812097,12068976
6639899,6463852,6507706,90860,11785094,12042915
6641191,6522636,6535625,86013,11821422,12003228
6516551,6412084,6347465,161619,11287447,11461950
6625124,6532002,6598988,87163,11901702,12043328
6668779,6557283,6545179,77481,11841324,12076177
6611278,6553845,6538690,75518,11873934,12027923
6633611,6532547,6456522,76130,11840791,12026957
6628074,6684889,6957069,80702,10703815,10762125
7018081,7038930,6950603,89215,9063823,9196354
7171211,7091604,7124263,88555,9115609,9226352
7247299,7114754,7013432,85950,9089514,9279013
7132884,6955363,7109068,112369,12893790,13512727
