1006,123,990,118,1008,119,1050,132
1050,123,1052,124,1054,124,1053,125
1614,126,1585,141,1564,141,1539,145
1560,151,1481,156,1479,161,1551,141
2240,66,2212,67,2226,71,2224,69
2962,1,2962,1,2961,0,2960,1
1675,125,1674,123,1636,130,1668,130
1352,165,1354,161,1356,156,1357,168
1848,111,1820,117,1882,105,1825,115
1326,163,1330,164,1336,161,1345,157
1981,101,2091,83,1975,106,2060,92
1983,74,1990,73,2000,72,1985,62
1058,130,1065,125,1049,125,1070,127
1056,124,1064,120,1052,130,1053,119
1057,126,1048,125,1056,126,1061,128
1042,128,1035,123,1023,122,1013,124
1010,121,1018,120,1017,120,1016,120
1114,112,1169,93,1142,98,1123,107
1013,121,1019,121,1012,121,1001,119
1027,118,1024,124,1036,113,1023,123
1728,0,1708,8,1730,1,1725,2
1247,82,1239,88,1260,85,1261,79
1021,121,1024,126,1012,126,1006,123
1060,108,1068,110,982,100,1130,117
2027,21,2024,22,2039,22,2016,23
1459,127,1460,135,1470,140,1464,139
906,200,907,193,912,188,909,192
1087,306,932,187,1050,282,923,189
1362,241,1215,142,1388,226,1263,126
1379,203,1259,121,1358,209,1246,130
892,162,893,108,897,148,883,97
1630,11,1686,1,1651,4,1688,4
1875,1,1866,7,1867,0,1868,5
1848,5,1857,1,1877,2,1850,1
1473,149,1359,107,1467,173,1376,97
1290,245,1160,137,1299,222,1165,138
