179731922,19421002,19956038,122613877,2251331,2319931,4277933,8478735,31922751,24317825,22759520,15080962,18682924
3187982,3220682,3254410,3278833,9567383,14352099,14385525,14455852,3186394,3130388,3118858,3126375,9535012
2824241,2836921,2821340,2816587,10160940,15378986,15350752,15395466,2823092,2851100,2855323,2828276,10214446
4048108,4026731,3906715,3910419,4754329,5774374,5690533,5710298,3803937,3772841,3788903,3797912,5650539
4681235,4768552,4879485,4923062,4649313,5632900,5641349,5680043,4738298,4853459,4923715,4949849,4690494
6591873,6592348,6476137,6401895,4543940,5506541,5420667,5444810,5742711,5823931,5684908,5560704,4203336
5570441,5571140,5644965,5627806,4227763,5092441,5089215,5099364,5534536,5614290,5531320,5505869,4241908
5527600,5614069,5697324,5658439,4243333,5091494,5077424,5097589,5529177,5599225,5538545,5522909,4198426
5525717,5566285,5663013,5699599,4182194,5160368,5104635,5111765,5480202,5648434,5549523,5518874,4254692
6269736,6364271,6477896,6424756,4766313,5808176,5804532,5803698,6231285,6328260,6446147,6420463,4692882
8653817,7596013,6463778,6512008,4778284,5797024,5599126,5793327,8288564,8293776,8619528,8768823,4483037
8643172,8578140,8538220,8577484,4235719,5292948,5313406,5260430,8186603,8128800,8338457,7883347,4185570
6288428,6384484,7071016,7061693,4460951,5417949,5389667,5379218,6261177,6350539,6217020,6191635,4535858
6308288,6322296,6474832,6423760,4697928,5759336,5723979,5755086,6213432,6310173,6251798,6215795,4802019
6270562,6319366,6493006,6481506,4860163,5920149,5818071,5875848,6274553,6463232,6397431,6273490,4827229
6205113,6247166,6264875,6235487,4550059,5496389,5442163,5335401,5773310,5771345,5682712,5558631,4183710
5550203,5555715,5670700,5650014,4182918,5085424,5071429,5098455,5473190,5642127,5534060,5545955,4185721
5517861,5566494,5664911,5661711,4235405,5094758,5103957,5109255,5518211,5614122,5587112,5518106,4230644
5562376,5598218,5652364,5687466,4183891,5079248,5090977,5090874,5480550,5609378,5544147,5559599,4274292
6312317,6373977,6370804,6405620,4716196,5735249,5735868,5727180,6197925,6342295,6238249,6218426,4678030
6188014,6289501,6356946,6404081,4712123,5833058,5846013,5830573,6261685,6412104,6382478,6295210,4802603
6104692,6115884,6158349,6107597,4516592,5368813,5323231,5087335,5636983,5751357,5640946,5531016,4213329
5537136,5594544,5655499,5649983,4258025,5085315,5094625,5090799,5463379,5594673,5538344,5537987,4158201
6112645,6181025,5605648,5777506,4202080,5049350,5096822,5073853,6026047,6073948,7039785,6319386,4072682
7656941,7626234,7571153,7564920,3857899,4641412,4637502,4610550,7434862,7440186,7387901,7420523,3733914
7898609,7973978,7952640,7975977,3931071,4843961,4841000,4829033,7851424,7784791,7584789,7524633,3760634
8553039,8795226,8604595,8591578,4292993,5250839,5241134,5235173,8471361,8437553,8368546,8300475,4102598
8542204,8445463,8336739,8287823,4018330,4950166,4858033,4861979,7755651,7654236,7600201,7527695,3770139
7679415,7603547,7592621,7582437,3724948,4615161,4615645,4549739,7473600,7450144,7415659,7406280,3737814
7698494,7639101,7605071,7633525,3708655,4634795,4620572,4612200,7461214,7428686,7434837,7443453,3688350
7634286,7604936,7581010,7594197,3700223,4627657,4605935,4602189,7467739,7425096,7435237,7401267,3735590
7660277,7595273,7583574,7563964,3724620,4617694,4601827,4598894,7463724,7447893,7423791,7432416,3693947
8534783,8582729,8616135,8711880,4319601,5412874,5335763,5334720,8583405,8644597,8626387,8500692,4291855
8608260,8517366,8373029,8287286,4032400,4940889,4828423,4824077,7830685,7654732,7558346,7467422,3672943
7676483,7660559,7591545,7625027,3717736,4618352,4597863,4599124,7470110,7459874,7416513,7429870,3756607
7633644,7589711,7600505,7564187,3714319,4625159,4605543,4606440,7462924,7411070,7425882,7420023,3698369
7586085,7601504,7575172,7534320,3746341,4618218,4625196,4605390,7380954,7413626,7360820,7353777,3776425
8198022,8213008,8261904,8342138,4066961,5129265,5174375,5206542,8569325,8519441,8353680,8365258,4188505
8793746,8794490,8572246,8609702,4157113,5185765,5183925,5166412,8404092,8401750,8345612,8325388,4150770
8593487,8472252,8379410,8303177,4033584,4973480,4863250,4876165,7817786,7629811,7582346,7497654,3751032
7666507,7626936,7607919,7573228,3698028,4621143,4600359,4589197,7447169,7445487,7402616,7408015,3675260
7673105,7609650,7580790,7609214,3718247,4607314,4573937,4574448,7444563,7412481,7428250,7406617,3750895
7632408,7635151,7610456,7569720,3696834,4610724,4600229,4595179,7466854,7430520,7402914,7422755,3701235
8284624,8319167,8508765,8591927,4287551,5368294,5362893,5269255,8702074,8704532,8684749,8678651,4301105
8698111,8571751,8476519,8360312,4052032,4986153,4985906,4937611,7800112,7626165,7547820,7469479,3742088
4556658,5115635,5587971,5590761,4501963,4845508,7621343,7627103,4329042,4682710,6018522,4842169,3845495
3910362,3907063,3947857,3963602,5690562,4877275,7520973,7543136,3816690,3863335,3835472,3827416,3910061
3900770,3952603,3903895,3928229,5780309,7326617,7604167,7622411,3781549,3837786,3878340,3884629,4043790
4222943,4241177,4302226,4388677,6330293,8585645,8619868,8724309,4432258,4526017,4514342,4372949,6368739
4399115,4414733,4455233,4461131,6412589,8652498,8652131,8630429,4325760,4423091,4444359,4440926,6460771
4376536,4363993,4382015,4527759,6661012,8938979,8916705,8822220,4464777,4606433,4657328,4648591,6710214
4431761,4374800,4399904,4413478,6483206,8662781,8665071,8676837,4323911,4394897,4435866,4408394,6378804
4449628,4433558,4495120,4451863,6513710,8757991,8789660,8738843,4396296,4398135,4445546,4433905,6425257
4519313,4452826,4456206,4511496,6506688,8705074,8669567,8722368,4285508,4357464,4367934,4420069,6378647
4472793,4520296,4491054,4487407,6494163,8680073,9030407,9027970,4591031,4624214,4607795,4602382,6810382
