7230752,19116733,17532449,18237473,1122154,1227894,958013,1099842,299470120
8165103,12100926,12199774,12441812,5125214,5259502,5268292,5283960,7996525
8362680,12690038,12619307,12694690,5307420,5388865,5368996,5397457,8098450
8474175,12605450,12645315,12199691,5316804,5454014,5357669,5424458,8200959
8427040,12822935,12700374,12797317,5305607,5406677,5453255,5389349,8173824
8308914,12450052,12272013,12126211,5113741,5180232,5048173,5077409,7460558
7788311,11802002,11686431,11782511,4880582,4978138,5020578,4956015,7528810
7709111,11671627,11583510,11711316,4950306,4977588,4952597,5013022,7446143
7722077,11653867,11544338,11686190,4884818,4958824,4995093,4936035,7444225
7698852,11695263,11577047,11749158,4867665,5008025,4949944,5012341,7456368
7729137,11651825,11541377,11706773,4947212,4979265,5006009,5018622,7437934
8480978,13003603,12638588,12785214,5304729,5438919,5424214,5490778,8151503
8437222,12722943,12700774,12792482,5314322,5416378,5399627,5464373,8144619
8407380,12702738,12653847,12782391,5323324,5405095,5368759,5369012,8113677
8349583,12431676,11691585,12156840,5057201,5091483,5050364,4964850,7506651
7767857,11532382,11266144,11668900,4871102,4947628,4935461,4975100,7491835
7712331,11752394,11705078,11794616,4882036,4966989,4952872,4944219,7448139
7748767,11742990,11739902,11788346,4886855,4977618,4986644,4960023,7502093
7699354,11740217,11617775,11751378,4876040,4957709,4964250,4996348,7430851
7755110,11757111,11667069,11753410,4891364,4981052,4944673,4956248,7452386
8679929,12899332,12868139,12650169,5366679,5463856,5489274,5378830,7881159
6493608,8673893,8674922,8549778,5079990,5161476,5183926,5190583,5886425
6032978,8632333,8692541,8694877,5277697,5618809,5509774,5546785,5933995
6613972,12422929,10857739,11135560,5708415,5876067,5830348,5827144,7457059
8377337,12620302,12552687,12675512,5515037,5486853,5479910,5422687,8044664
8407754,12703035,12645415,12740181,5274850,5425145,5473142,5397374,8116472
8341414,11785815,12266892,12264032,5093882,5195183,4983354,4960217,7458199
7678123,11715019,11612756,11687992,4881598,5055749,4987181,4951583,7410650
7745271,11721679,11637514,11540098,4894198,4986887,5025998,4970862,7477952
7710056,11760974,11686688,11777568,4950910,4998106,4991176,4985026,7436159
7765396,11737386,11358591,11742284,4883180,4976717,5021125,4940966,7506839
7742441,11769787,11599190,11687748,4959733,5045318,4976930,4954693,7454545
7712119,11748989,11610728,11751777,4937479,4980395,4951549,4946215,7462816
7723672,11655542,11639111,11675910,4877443,5060982,5015436,4958317,7426881
9363107,14254567,14358223,14665326,5501411,5428146,5349612,5360711,9618520
9546731,14216783,14082525,14072869,5085643,5062656,5048955,4952824,8826002
