15262550,8447540,22984056,13884997,4070363,6744996,293849738
5148318,5138797,5199979,5177735,10818815,11103426,11329673
5445279,5455155,5493251,5478431,11509559,11832474,12011356
5872417,5867445,6036657,5956734,12421189,12616233,12685447
5837418,5910772,5870081,5857329,12248454,12448833,12495027
5548103,5864977,5921705,5831174,12097595,12312045,12355671
5835919,5788255,5762862,5650326,11669284,11749381,11701134
5503348,5459252,5503018,5533399,11533690,11722649,11714035
5474335,5486774,5560133,5480102,11489926,11685357,11748735
5499857,5512511,5531398,5524100,11371206,11527452,11593310
5523585,5468206,5521805,5471980,11474080,11661159,11740003
5469493,5497664,5515041,5474965,11490948,11643080,11750717
5385567,5367299,5453032,5450655,9515791,9835851,10319168
5749963,5762168,5836799,5771302,8023169,8245972,8215010
5743185,5812372,5800821,5850469,8014704,8233883,8198077
5636361,5815241,5853395,5851695,7989463,8155750,8119713
6096049,6218133,6252934,6198451,8537683,8768950,8685981
6270074,6279670,6168422,6412396,10428663,10833784,10970849
6029741,5913073,6049185,6038887,12186216,12416412,12423885
5847356,5910364,5946886,5855690,12227785,12396259,12471538
5903010,5870449,5955864,5925461,12360188,12700249,12673502
5920727,5899180,5894941,5906943,12277849,12409737,12495417
5842349,5907486,5955750,5837115,12239963,12403650,12498027
5866687,5678564,5738045,5673114,11672458,11716737,11707590
5538093,5539827,5586692,5490066,11381775,11559810,11600696
5511507,5478298,5561943,5532615,11461194,11633283,11714692
5474849,5522621,5486765,5536446,11507587,11684689,11701848
5464060,5539932,5566670,5468074,11494547,11645158,11725134
5431593,5487078,5526833,5548150,11485419,11695389,11713591
5861553,5874859,5951946,5870042,12234753,12367613,12450757
5812209,5736143,5793047,5641346,11703056,11724968,11615843
5477001,5603955,5568502,5483592,11480563,11653968,11755321
5503108,5483679,5533938,5517755,11563287,11755838,11821478
5508392,5532318,5498249,5541969,11475956,11680359,11723668
5536917,5472738,5570045,5486550,11500055,11660448,11733197
5474019,5521953,5573746,5452143,11522643,11712817,11711373
5205983,5199983,5253330,5320354,12881723,12982989,12971574
5036233,5058594,5043554,5061671,14265431,14287487,14238173
4964280,5035319,4949692,4990931,14294467,14283087,14266769
5020674,4987988,5025448,5056138,14284074,14304633,14228893
5030531,4994880,4953763,5049746,14270296,14324778,14261868
5098458,4998773,4943962,5042393,14329597,14336458,14265063
4957791,4987079,4963780,5049905,14284363,14303715,14254862
5025901,4971588,4950866,4998663,14323193,14330992,14256037
5375430,5330425,5312195,5397710,15290055,15308594,15221830
5362414,5306526,5301835,5386661,15239006,15282282,15224744
5361256,5317179,5307077,5462033,15284031,15256556,15183992
5429875,5321498,5308471,5395532,15261062,15272952,15170819
5267075,5212503,5131503,5204157,14609662,14446832,14225117
5088262,4994964,4962945,5042413,14287128,14299019,14230250
5628815,5206392,5710836,5888858,14056311,13866850,13564926
8427746,5556850,8355310,8426649,7500453,5770247,5853350
8183543,7288979,8138834,8172524,5681458,5751347,5835800
8247484,7828371,7872680,8227475,5825244,5931054,6049741
8725566,8799045,8746501,8719720,6128692,6177591,6228870
8474207,8548207,8409324,8455778,5803732,5749241,5761512
8204063,8136407,8229300,8138034,5724079,5742107,5809600
8168041,8163363,8123265,8152517,5645451,5734068,5840694
8171910,8181003,8135527,8183487,5663420,5794735,5872145
8212430,8190035,8174506,8149664,5740546,5747825,5817191
8526221,8521297,8425957,8413041,5777694,5804572,5825061
8214159,8111524,8182126,8120818,5696474,5739605,5796602
8185297,8168347,8137797,8104086,5699018,5721478,5854579
8163377,8177181,8191849,8191323,5688285,5804402,5834416
8257670,8156028,8183233,8207107,5779181,5772533,5902819
